"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Finally, the Philippine eGaming war is over! #PresidentDuterte #Duterte @DZMMTeleRadyo #PhilWeb #PAGCOR… https://t.co/M4W5Hzh1Zb",FALSE,0,NA,2016-10-11 10:29:31,TRUE,NA,"785789419592687616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RightCasino",0,FALSE,FALSE,NA,NA
"2","The Philippines president just cut 65 years of military ties with the US https://t.co/0VoaB7auJn",FALSE,0,NA,2016-10-11 10:29:31,FALSE,NA,"785789418015629312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JeanKaseki",0,FALSE,FALSE,NA,NA
"3","RT @SinarOnline: Duterte akan haramkan rokok pula

https://t.co/gOcGBvp8C8 https://t.co/ZCn6nvFLwJ",FALSE,0,NA,2016-10-11 10:29:25,FALSE,NA,"785789393319583744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dyanakhai",34,TRUE,FALSE,NA,NA
"4","RT @PhilippineStar: LOOK: The latest net trust ratings of President Duterte is three points lower than the +79 that he obtained in a survey…",FALSE,0,NA,2016-10-11 10:29:23,FALSE,NA,"785789387682426884",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oleole23us",3,TRUE,FALSE,NA,NA
"5","RT @myrmecoleon: 彼らが最初共産主義者を攻撃したとき みたくなってきてる。 / “ドゥテルテ氏、フィリピン全土の禁煙宣言へ　車の中も禁止に” https://t.co/pIypSC6RIc",FALSE,0,NA,2016-10-11 10:29:18,FALSE,NA,"785789366882869249",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kadotanimitsuru",5,TRUE,FALSE,NA,NA
"6","RT @gmanews: May ilan na umanong foreign investor na umatras na sa pagnenegosyo sa Pilipinas dahil sa pananalita ni Pangulong Duterte. http…",FALSE,0,NA,2016-10-11 10:29:11,FALSE,NA,"785789334620246016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SheilaDupitas",35,TRUE,FALSE,NA,NA
"7","RT @azukiglg: ドゥテルテ氏、フィリピン全土の禁煙宣言へ　車の中も禁止に https://t.co/aJOwtbGgc9 次は喫煙すると殺されるんかな。",FALSE,0,NA,2016-10-11 10:29:09,FALSE,NA,"785789327267598336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bekomax",163,TRUE,FALSE,NA,NA
"8","@null Setelah Perangi Narkoba, Duterte Bakal Terapkan Larangan Merokok: Presiden Filipina, Rodrigo Duterte di... https://t.co/Xcjnw68dxG",FALSE,0,"null",2016-10-11 10:29:00,FALSE,NA,"785789288814260224","3562471","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","wonpret",0,FALSE,FALSE,NA,NA
"9","Setelah Perangi Narkoba, Duterte Bakal Terapkan Larangan Merokok https://t.co/5wjXENyEIk",FALSE,0,NA,2016-10-11 10:28:59,FALSE,NA,"785789287140691972",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","BuzzerSocmed",0,FALSE,FALSE,NA,NA
"10","Setelah Perangi Narkoba, Duterte Bakal Terapkan Larangan Merokok https://t.co/tC28SVLmO9 #RLNews",FALSE,0,NA,2016-10-11 10:28:58,FALSE,NA,"785789281407082496",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","RomanLINKGO",0,FALSE,FALSE,NA,NA
"11","Presiden Filipina, Rodrigo Duterte dilaporkan akan segera menerapkan larangan merokok di seluruh tempat di FI... https://t.co/30xdUj4BSy",FALSE,0,NA,2016-10-11 10:28:57,FALSE,NA,"785789276768182272",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Edwpy",0,FALSE,FALSE,NA,NA
"12","Setelah Perangi Narkoba, Duterte Bakal Terapkan Larangan Merokok https://t.co/KIwImWSudj",FALSE,0,NA,2016-10-11 10:28:56,FALSE,NA,"785789271802195972",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","beritaza",0,FALSE,FALSE,NA,NA
"13","Setelah Perangi Narkoba, Duterte Bakal Terapkan Larangan Merokok https://t.co/naWJEYrpJX",FALSE,0,NA,2016-10-11 10:28:54,FALSE,NA,"785789263258398720",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Bayernpsp",0,FALSE,FALSE,NA,NA
"14","#News Setelah Perangi Narkoba, Duterte Bakal Terapkan Larangan Merokok: Presiden Filipina, Rodrigo Duterte di... https://t.co/EHs05AiTWD",FALSE,0,NA,2016-10-11 10:28:52,FALSE,NA,"785789254861398016",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Romy_pesek",0,FALSE,FALSE,NA,NA
"15","Setelah Perangi Narkoba, Duterte Bakal Terapkan Larangan Merokok",FALSE,0,NA,2016-10-11 10:28:50,FALSE,NA,"785789245935931392",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","bej0x",0,FALSE,FALSE,NA,NA
"16","@fadiyaa27 Setelah Perangi Narkoba, Duterte Bakal Terapkan Larangan Merokok https://t.co/zef6U3rTfl @lestari_wdynti",FALSE,0,NA,2016-10-11 10:28:49,FALSE,NA,"785789242907561984",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","millakomala",0,FALSE,FALSE,NA,NA
"17","mexC- Setelah Perangi Narkoba, Duterte Bakal Terapkan Larangan Merokok: Presiden Fili... https://t.co/QSXxVfd7Ig t.co/macau_meximas",FALSE,0,NA,2016-10-11 10:28:47,FALSE,NA,"785789234909024256",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","SDSB_RI",0,FALSE,FALSE,NA,NA
"18","pirmahan na sana ni duterte yung nationwide smoking ban ������",FALSE,0,NA,2016-10-11 10:28:45,FALSE,NA,"785789224444231680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mmmeeerrryyylll",0,FALSE,FALSE,NA,NA
"19","Duterte pushing ahead with total smoking in public ban and hopes to sign off bill by end of the month.",FALSE,0,NA,2016-10-11 10:28:43,FALSE,NA,"785789219515998208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JamesERothwell",0,FALSE,FALSE,NA,NA
"20","Duterte: ‘Shouldn’t PH go for health, education alliances, rather than military?’ - Read: https://t.co/SyA5cKW6rc… https://t.co/RdohOBdgmh",FALSE,0,NA,2016-10-11 10:28:40,TRUE,NA,"785789206748475393",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","manila_bulletin",0,FALSE,FALSE,NA,NA
"21","RT @NicoZey: @NicoZey minadali ko pa naman pag visit sa malacañang para sa coverage ng ginagawang memorabilia room ni duterte. ������
#ALDUBPure…",FALSE,0,NA,2016-10-11 10:28:40,FALSE,NA,"785789203539984384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","daisybatti",178,TRUE,FALSE,NA,NA
"22","RT @yukanight: フィリピンに住もうかな・・・ｗ　フィリピン全土禁煙宣言　車の中も禁止に　https://t.co/SyewTpuAxA",FALSE,0,NA,2016-10-11 10:28:27,FALSE,NA,"785789153006936064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kitunekyun",4,TRUE,FALSE,NA,NA
"23","New story on NPR: Why Philippine President Rodrigo Duterte Mistrusts The U.S. https://t.co/DrbWMh5NnJ",FALSE,0,NA,2016-10-11 10:28:25,FALSE,NA,"785789140927479808",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TimonichevDenja",0,FALSE,FALSE,NA,NA
"24","Why Philippine President Rodrigo Duterte Mistrusts The U.S. https://t.co/6bpDhauP6e",FALSE,0,NA,2016-10-11 10:28:24,FALSE,NA,"785789138305966080",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","dailynews5556",0,FALSE,FALSE,NA,NA
"25","HR: What do you usually do when you have free time?

Duterte: I like doing Hitler stuff.",FALSE,1,NA,2016-10-11 10:28:22,FALSE,NA,"785789128197541888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KBOMolina",0,FALSE,FALSE,NA,NA
